scorer,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000,DeepCut_resnet50_clip6Mar15shuffle1_28000
bodyparts,hypostone,hypostone,hypostone,peduncle,peduncle,peduncle
coords,x,y,likelihood,x,y,likelihood
14,1229.1396765708923,1644.0198707319796,0.11677185446023941,1226.7445293664932,1644.4044378697872,0.018250837922096252
15,1232.6527841091156,1637.48499584198,0.10127896070480347,1204.9131200313568,1584.8308820724487,0.03837516903877258
16,1228.2695651054382,1641.4289858341217,0.32340702414512634,1203.9168977215886,1583.2757844924927,0.07094185799360275
17,1227.4402784109116,1640.4545958042145,0.19249197840690613,1189.446918964386,1584.900423526764,0.10835899412631989
18,1220.7038606405258,1642.8366177082062,0.16885344684123993,1188.34194201231,1584.167371749878,0.20148691534996033
19,1220.9105803966522,1642.3287905454636,0.1508212834596634,1187.1389221549034,1582.8094055652618,0.1605573147535324
20,1220.2507992386818,1642.90485394001,0.12508487701416016,1180.8505642414093,1582.3821201324463,0.2242884337902069
21,1196.0625531449914,1667.3132520914078,0.11490944027900696,1178.4907321929932,1582.078444480896,0.16988180577754974
22,1195.5209406614304,1666.5509692430496,0.14348100125789642,1171.6973132491112,1582.4224646091461,0.2574402689933777
23,1197.2356888055801,1661.1068929433823,0.16252459585666656,1170.9385285377502,1581.105469584465,0.17129765450954437
24,1196.498144030571,1659.9969291000161,0.10835319012403488,1164.753582417965,1580.895977139473,0.1279078871011734
25,1195.311153769493,1659.734559059143,0.06076919659972191,1163.4997527599335,1580.5104654431343,0.08945690095424652
26,1195.7852777987719,1658.9277939796448,0.10749645531177521,1194.2938746213913,1659.3823199272156,0.0443476103246212
27,1195.6569897830486,1657.6886222362518,0.08092562854290009,1194.3927727937698,1658.8509804010391,0.024234788492321968
28,1194.7786515951157,1657.324147939682,0.07340710610151291,1194.6439893245697,1658.8696476221085,0.022645890712738037
29,1204.1203040480614,1644.276331692934,0.05214374512434006,1194.4530888795853,1658.510307431221,0.014829648658633232
30,1203.9370834678411,1644.4759097397327,0.04383157938718796,1293.172400712967,1483.9236556515098,0.008926785551011562
31,1204.199533507228,1644.062883041799,0.04820256680250168,1293.4879797697067,1483.5337291061878,0.009487725794315338
32,1204.053238015622,1643.9769614394754,0.05482817813754082,1293.1805285215378,1483.177902519703,0.018463974818587303
33,1204.0632259473205,1643.6871666908264,0.026907971128821373,1293.2844977378845,1482.9163889884949,0.012301318347454071
34,1203.7851389944553,1643.6090485155582,0.0329294353723526,1293.6439473628998,1483.3050613999367,0.009617602452635765
35,1203.54794973135,1643.3028806447983,0.02561827562749386,1293.1429414749146,1483.3197370171547,0.010401690378785133
36,1203.1614031791687,1643.0700441002846,0.02135954052209854,1293.1797895431519,1482.6433027982712,0.0085443751886487
37,1202.6191337108612,1643.5057310461998,0.02659771777689457,1292.9787637591362,1482.38860476017,0.007481781765818596
38,1203.2975844740868,1643.7677977383137,0.06533186882734299,1293.5615696907043,1482.1660149097443,0.007465199567377567
39,1203.66911059618,1644.2140564322472,0.06015985831618309,1292.9339353442192,1476.9041551351547,0.0076797474175691605
40,1203.979921143502,1645.1419160366058,0.06843380630016327,1194.5661790370941,1659.29163980484,0.009761177934706211
41,1304.151258945465,1573.5286664962769,0.030728667974472046,1193.9750378131866,1642.8300693035126,0.005003525875508785
42,1251.0283533930779,1573.3278070688248,0.1690818965435028,742.8946118354797,1161.4916276931763,0.17469875514507294
43,1249.2681171894073,1563.8995611444116,0.5533173680305481,728.5950882434845,1140.1186525821686,0.823839545249939
44,1249.9657838344574,1550.4487826824188,0.7994624376296997,719.0123376846313,1122.0171366930008,0.9694404602050781
45,1247.7463555335999,1540.562206208706,0.8726133704185486,713.876627445221,1108.9807527065277,0.9851598143577576
46,1245.9308185577393,1536.2457294464111,0.8085252642631531,709.306836605072,1098.247183561325,0.9789515137672424
47,1237.339738726616,1531.997227493208,0.9494807124137878,702.7217183113098,1089.8816874027252,0.9494845867156982
48,1237.4274690151215,1529.816428899765,0.967731237411499,697.9539711475372,1081.4263792037964,0.9308008551597595
49,1236.1369904130697,1526.0322122573853,0.9367903470993042,694.4457154273987,1074.9439990520477,0.9530395865440369
50,1235.5888778567314,1523.241580426693,0.914707601070404,692.3592765033245,1067.0929208397865,0.9547958374023438
51,1234.976278424263,1521.5546131134033,0.9143750071525574,688.9266912937164,1063.3697414398193,0.9352160096168518
52,1235.0601202845573,1520.6870729923248,0.9319528341293335,683.4563717246056,1052.8889125585556,0.8336882591247559
53,725.6802023649216,1037.260318994522,0.8682114481925964,681.4075698852539,1047.510422706604,0.8087681531906128
54,1235.2907827496529,1520.724837064743,0.85732501745224,678.6494512557983,1042.5583053827286,0.8562150597572327
55,1235.861472517252,1520.2720828056335,0.8950504660606384,677.6133145093918,1034.9280289411545,0.811948835849762
56,1234.4748264551163,1519.8049812316895,0.9662005305290222,677.9433175325394,1030.0338323116302,0.8780694007873535
57,1233.2800273895264,1518.9941778182983,0.9973198771476746,676.9951115846634,1017.6180114746094,0.35135340690612793
58,1231.6894164085388,1517.242844581604,0.9977912902832031,740.7986266613007,874.4120429754257,0.911480724811554
59,1225.7590653896332,1513.1636815071106,0.9975764155387878,723.4198427796364,875.7269494235516,0.9895009398460388
