scorer,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000,DeepCut_resnet50_hydratrackingMar12shuffle1_30000
bodyparts,hypostone,hypostone,hypostone,peduncle,peduncle,peduncle
coords,x,y,likelihood,x,y,likelihood
15,744.7261185646057,737.4297051429749,0.9998165965080261,482.2212964296341,479.503719329834,0.999852180480957
16,745.6940908432007,738.1752054691315,0.9996793270111084,481.032674074173,479.83450174331665,0.9998949766159058
17,746.4671877622604,738.9423385858536,0.9996209144592285,480.8259630203247,479.56584119796753,0.999894380569458
18,747.9532243348658,740.2882573604584,0.9995201826095581,481.04732608795166,479.23555994033813,0.9998750686645508
19,750.0337014198303,741.007025718689,0.999561607837677,479.16995191574097,479.726459980011,0.9998487234115601
20,752.4107165336609,742.1118631362915,0.9996569156646729,479.27889823913574,479.25129652023315,0.9998055100440979
21,753.7547791004181,744.7353014945984,0.9995962977409363,478.61992168426514,479.4064292907715,0.9997794032096863
22,755.7089895308018,746.2030447721481,0.9995593428611755,477.9225387573242,479.3950762748718,0.9996696710586548
23,757.1300220489502,747.0771315097809,0.999381422996521,477.85880279541016,478.7460813522339,0.9996685981750488
24,758.6088533401489,747.0789251327515,0.9996569156646729,477.5936245918274,478.3492970466614,0.9995821118354797
25,760.3605642318726,747.7282018661499,0.9994745850563049,478.040020942688,478.4537477493286,0.9996154308319092
26,762.0301365852356,749.0301265716553,0.9993094205856323,477.2867751121521,478.4287214279175,0.9995978474617004
27,763.7708384096622,749.7140989303589,0.9993446469306946,477.0702328681946,477.9575653076172,0.9995239973068237
28,764.8928465843201,750.7631998062134,0.9992928504943848,476.83650255203247,477.8102641105652,0.9993952512741089
29,766.8813457489014,750.5669636726379,0.9997187256813049,477.25751543045044,476.5207574367523,0.999275267124176
30,768.2289264202118,752.1497550010681,0.9998703002929688,476.8155245780945,476.50448101758957,0.9993089437484741
31,770.6331651210785,752.5597565174103,0.9999281167984009,476.4627676010132,476.546036362648,0.9989473223686218
32,772.6467080712318,753.2695693969727,0.9999282360076904,476.37982654571533,476.3399788439274,0.9991481304168701
33,773.8152556419373,754.6535753011703,0.9998677968978882,476.66297817230225,477.2351279258728,0.9988508224487305
34,776.3300213813782,755.9022627845407,0.9996387958526611,476.4502878189087,475.7698456943035,0.9991908669471741
35,777.3803522586823,757.1498291492462,0.999409556388855,475.8405284881592,475.6338826417923,0.9988699555397034
36,779.0819588899612,758.2506167888641,0.9991507530212402,475.548056602478,475.71830570697784,0.998755693435669
37,780.6287654042244,759.1365549564362,0.9987164735794067,475.48226499557495,476.74052143096924,0.9987019300460815
38,783.4578533172607,761.2232942581177,0.9993222951889038,476.3115873038769,476.1898407936096,0.9985217452049255
39,784.4214625358582,762.1993554830551,0.9993114471435547,475.0813761949539,476.40031147003174,0.9983538389205933
40,786.2131162881851,763.3947128653526,0.9994007349014282,475.5651922225952,474.81168270111084,0.9987939596176147
41,787.4917223453522,761.9552659988403,0.9994237422943115,474.6045414209366,475.94729804992676,0.9982022047042847
42,788.446780860424,762.5025596618652,0.9996060729026794,475.1367103457451,475.67664909362793,0.9981440305709839
43,790.18195104599,763.5565547943115,0.9997060894966125,474.62926185131073,475.65745544433594,0.9977501034736633
44,791.69509100914,764.7753748893738,0.999683141708374,473.6411907672882,475.72124004364014,0.997448742389679
45,793.2938389778137,765.9368534088135,0.9996441602706909,474.8076548576355,474.8699712753296,0.9971750974655151
46,794.167914390564,767.3454461097717,0.9995576739311218,474.2544890642166,475.1605501174927,0.9969741106033325
47,795.8720854818821,768.0070140361786,0.9995798468589783,474.64158153533936,474.5961207151413,0.9972777962684631
48,797.5677495002747,768.4207715988159,0.9996199607849121,474.5440192222595,474.4812788963318,0.9978761672973633
49,798.6501274108887,769.1177673339844,0.9998002648353577,474.4946508407593,474.3473654985428,0.9978784322738647
50,800.334992647171,769.9083578586578,0.9998658895492554,473.7679386138916,474.7748974561691,0.9983788728713989
51,801.8156571388245,770.5542726516724,0.9998964071273804,474.1691174507141,474.09543240070343,0.9979121088981628
52,803.4653740525246,771.2603508234024,0.9998825788497925,473.76428031921387,474.10009765625,0.9982960820198059
53,804.7979162931442,772.0729118213058,0.9998328685760498,473.6485776901245,474.03131091594696,0.9983580708503723
54,806.2813458442688,772.1833442747593,0.9997567534446716,473.359694480896,474.26784336566925,0.9986341595649719
55,807.4899115562439,772.5491436123848,0.9996205568313599,473.4069724082947,473.63380670547485,0.9985176920890808
56,808.8161289691925,774.2477595806122,0.9991902709007263,473.69194889068604,473.53794264793396,0.9983537197113037
57,810.5762135982513,774.229070186615,0.9993440508842468,473.72225046157837,473.2002065181732,0.9982419013977051
58,811.7907768934965,774.7672147750854,0.9990708827972412,473.7274537086487,473.23365211486816,0.9984104633331299
59,813.7005004882812,776.9596252441406,0.9988765120506287,473.4407525062561,472.97900438308716,0.9984375834465027
60,815.1541256904602,778.2029377222061,0.9992165565490723,473.3772144317627,472.86500692367554,0.9985625147819519
61,815.7614440917969,779.2571076154709,0.9991870522499084,472.0955476760864,473.5606760978699,0.9990460276603699
62,815.5911083221436,778.9939069747925,0.99931800365448,472.40475606918335,473.4618487358093,0.9986478686332703
63,817.0571625232697,779.3445091247559,0.9995970129966736,472.2150583267212,473.032124042511,0.9989739656448364
