scorer,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000
bodyparts,hypostone,hypostone,hypostone,peduncle,peduncle,peduncle
coords,x,y,likelihood,x,y,likelihood
15,389.86006331443787,412.2816852927208,0.9999102354049683,774.3100023269653,828.403263092041,0.9997326731681824
16,389.40133571624756,411.6186072528362,0.999907374382019,774.1248226165771,828.8496599197388,0.9997555613517761
17,388.5219060778618,412.6091019511223,0.9998984336853027,773.9384299516678,828.641932964325,0.9997674822807312
18,388.1705161482096,411.8509124070406,0.9999110698699951,773.8185601234436,828.8820858001709,0.9998051524162292
19,387.6642335355282,412.40426793694496,0.9998881816864014,774.0613396167755,828.7772064208984,0.9997727274894714
20,385.866730928421,411.6518651545048,0.9998565912246704,773.7714116573334,828.7279486656189,0.9997808337211609
21,384.74053597450256,412.5148956775665,0.9998575448989868,773.5045057535172,828.8494458198547,0.9997923970222473
22,383.63341903686523,412.194618716836,0.9998047947883606,773.6054087877274,828.4357995986938,0.9997723698616028
23,383.1751112937927,414.73231410980225,0.9996554851531982,773.7578570842743,828.7454590797424,0.9997602105140686
24,381.77890062332153,414.71417713165283,0.9996324777603149,773.4707444906235,829.0238432884216,0.9998142123222351
25,382.0945472717285,414.3173794746399,0.9995167255401611,773.9057360887527,828.749324798584,0.9997493624687195
26,378.23763608932495,414.7330107688904,0.99937903881073,774.0697910785675,828.8564839363098,0.9997348189353943
27,380.7585262656212,414.5038480758667,0.999596893787384,774.0196437835693,828.6663727760315,0.9997550845146179
28,378.2876877784729,414.84629011154175,0.999716579914093,773.8552072048187,828.7844166755676,0.9997491240501404
29,378.2828540802002,414.7159070968628,0.9996964931488037,773.7670941352844,828.7011361122131,0.9997547268867493
30,376.6244192123413,414.7893943786621,0.9998018145561218,773.7151238918304,828.6754479408264,0.9997767806053162
31,376.02808952331543,414.9087243080139,0.9998437166213989,773.7128995656967,828.7079238891602,0.9997879862785339
32,375.95773673057556,414.9321174621582,0.9998993873596191,773.528132557869,828.7312865257263,0.9998164772987366
33,375.34760999679565,414.7262587547302,0.9999045133590698,773.9061133861542,828.8790187835693,0.9997671246528625
34,375.1225037574768,414.6526389122009,0.9999022483825684,773.7670814990997,829.2137160301208,0.9997805953025818
35,375.0755944252014,414.80198526382446,0.9999122619628906,774.8713281154633,832.4395081996918,0.999897837638855
36,374.6663100719452,415.3150706291199,0.9999285936355591,775.1675395965576,833.4123687744141,0.9998600482940674
37,374.1423981189728,415.5535497665405,0.9999408721923828,775.2070405483246,833.766193151474,0.9998642206192017
38,373.8867355585098,415.4990072250366,0.9999445676803589,775.523558139801,834.3842823505402,0.9998339414596558
39,373.17924678325653,415.35138034820557,0.9999339580535889,774.8402233123779,834.4776477813721,0.9998420476913452
40,372.9353920221329,415.966272354126,0.9999551773071289,774.9522588253021,835.1083146929741,0.9998577833175659
41,372.29618215560913,416.0027685165405,0.9999382495880127,775.0881004333496,835.3437970876694,0.9998002648353577
42,372.06789526343346,415.7563862800598,0.9999312162399292,775.0987651348114,835.9817145243287,0.9998233914375305
43,371.3270199894905,415.93899059295654,0.9999303817749023,774.9588010311127,836.3327293395996,0.9998019337654114
44,371.16184389591217,416.2730941772461,0.9999099969863892,774.7538843154907,836.5965918898582,0.9998397827148438
45,371.6794667840004,416.101145029068,0.9999396800994873,774.5235316753387,836.5044759511948,0.9998338222503662
46,372.9976425766945,419.0003393292427,0.9999291896820068,770.9186930656433,834.9872505664825,0.9999287128448486
47,374.7971611022949,419.11235719919205,0.9999380111694336,767.3765382766724,833.2870635986328,0.9998586177825928
48,375.3095760345459,419.90727031975985,0.9999384880065918,764.6090898513794,831.3651990890503,0.9988349080085754
49,379.1726786494255,422.2893543243408,0.9973880648612976,757.7308375835419,827.2059317231178,0.9966377019882202
50,387.6744846403599,427.4145931005478,0.9838852882385254,735.4237823486328,811.6113022267818,0.9890260100364685
51,401.54215383529663,430.3943829536438,0.9830989241600037,713.1889481544495,788.4387283325195,0.9995436072349548
52,416.9551992416382,436.6219402551651,0.9994575381278992,703.1739253997803,768.98242354393,0.9999216794967651
53,424.3216886520386,448.6788184642792,0.9995912909507751,695.8404550552368,754.9771972894669,0.9998980760574341
54,438.64649653434753,450.02615225315094,0.9999604225158691,691.1354942321777,742.9139692783356,0.9999364614486694
55,445.92536306381226,453.03332257270813,0.9998395442962646,688.395947933197,733.8270320892334,0.9999116659164429
56,451.4917314052582,453.74444341659546,0.9999904632568359,683.9950982639566,727.0898022651672,0.9996457099914551
57,455.38948369026184,455.2448856830597,0.999969482421875,682.1158263683319,722.6841958761215,0.9998345375061035
58,460.348011136055,454.7033655643463,0.9998701810836792,680.970712184906,717.0887064933777,0.9998206496238708
59,463.5832862854004,455.6859860420227,0.9999576807022095,680.8428325653076,713.4919528961182,0.9995598196983337
60,466.74213087558746,457.4417014122009,0.9999754428863525,678.2012581825256,709.4655718803406,0.9999195337295532
61,469.04381597042084,459.48324060440063,0.9999555349349976,677.4291988611221,707.5262999236584,0.9999723434448242
62,470.93226194381714,460.13865756988525,0.9999328851699829,676.2832984924316,705.4291346073151,0.9999803304672241
63,473.1642093658447,460.8181933760643,0.9998621940612793,675.9140541702509,703.0447072982788,0.9999600648880005
